ID;Description
GO:0006893;Golgi to plasma membrane transport
GO:0120104;actomyosin contractile ring, proximal layer
GO:0000917;division septum assembly
GO:0000935;division septum
GO:0005628;prospore membrane
GO:0006164;purine nucleotide biosynthetic process
GO:0030686;90S preribosome
GO:0031201;SNARE complex
GO:0005096;GTPase activator activity
GO:0004197;cysteine-type endopeptidase activity
GO:0005852;eukaryotic translation initiation factor 3 complex
GO:0030246;carbohydrate binding
GO:0048278;vesicle docking
GO:0070469;respirasome
GO:0007005;mitochondrion organization
GO:0016616;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0005773;vacuole
GO:0006888;endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0000724;double-strand break repair via homologous recombination
GO:0016236;macroautophagy
GO:0046982;protein heterodimerization activity
GO:0005507;copper ion binding
GO:0016831;carboxy-lyase activity
GO:1990758;mitotic sister chromatid biorientation
GO:0001228;DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0000775;chromosome, centromeric region
GO:0000245;spliceosomal complex assembly
GO:0000262;mitochondrial chromosome
GO:0000338;protein deneddylation
GO:0004556;alpha-amylase activity
GO:0006995;cellular response to nitrogen starvation
GO:0019784;NEDD8-specific protease activity
GO:0030154;cell differentiation
GO:0031080;nuclear pore outer ring
GO:0035064;methylated histone binding
GO:0055072;iron ion homeostasis
GO:0097038;perinuclear endoplasmic reticulum
GO:0140278;mitotic division septum assembly
GO:0043328;protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043565;sequence-specific DNA binding
GO:0030173;integral component of Golgi membrane
GO:1990904;ribonucleoprotein complex
GO:0006696;ergosterol biosynthetic process
GO:0004843;thiol-dependent ubiquitin-specific protease activity
GO:0006887;exocytosis
